OPEID6,INSTNM,C150_4,ADM_RATE,SATVR25,SATMT25,COSTT4_A,NPT4_PUB,NPT4_PRIV,UGDS,LOCALE,CITY,STABBR,PCIP27,PCIP52,CIP27BACHL,CIP52BACHL
3510,Middle Tennessee State University,0.5198,0.6909,520,490,24289,13359,,16301,12,Murfreesboro,TN,0.0043,0.1814,1,2
3519,Rhodes College,0.3672,0.5035,650,650,71136,,28585,1836,11,Memphis,TN,0.0233,0.1235,1,1
3534,The University of the South,0.6372,0.569,640,620,71986,,27872,1607,42,Sewanee,TN,0.0299,0.0499,1,1
3518,Southern Adventist University,0.4697,0.655,530,490,38618,,24345,2773,21,Collegedale,TN,0.0112,0.1301,1,1
3525,Tennessee Wesleyan University,,0.6885,,,39440,,14836,846,32,Athens,TN,0.012,0.2048,1,1
3529,The University of Tennessee-Chattanooga,0.3094,0.8109,513,500,25489,14265,,10074,12,Chattanooga,TN,0.0084,0.2074,1,1
3530,The University of Tennessee-Knoxville,0.3246,0.416,600,600,33678,18976,,30418,12,Knoxville,TN,0.0071,0.2825,1,1
3531,The University of Tennessee-Martin,0.4498,0.882,500,470,23079,10701,,4866,33,Martin,TN,0.002,0.1556,1,2
3522,Tennessee State University,0.3062,0.7011,460,420,25637,15796,,4848,11,shville,TN,0.0014,0.1819,1,1
3523,Tennessee Technological University,,0.7613,528,520,25663,14246,,8698,33,Cookeville,TN,0.0032,0.1698,1,1
3526,Trevecca zarene University,0.5581,0.6944,510,470,41548,,16813,1737,11,shville,TN,0.005,0.335,1,1
3527,Tusculum University,0.2494,0.7217,,,43776,,21131,785,32,Greeneville,TN,0.0042,0.2803,1,1
3528,Union University,0.3175,0.6041,600,560,58363,,27171,1607,13,Jackson,TN,0.0022,0.1608,1,1
22594,Amberton University,0.6811,,,,,,,114,21,Garland,TX,,0.4091,,2
20814,Arlington Baptist University,0.4648,,,,33424,,24906,284,11,Arlington,TX,,0.6154,,1
23312,Baptist Missiory Association Theological Semiry,,0.2857,,,,,,39,32,Jacksonville,TX,,,,
3560,Dallas Baptist University,,0.8884,490,470,52716,,28516,2403,11,Dallas,TX,0.0098,0.2871,1,2
3564,East Texas Baptist University,0.1439,0.5776,,,44211,,23911,1352,32,Marshall,TX,,0.2,1,2
3565,East Texas A&M University,0.2103,0.9224,480,430,23438,11841,,9912,32,Commerce,TX,0.0028,0.1197,1,1
10509,Hallmark University,,0.5134,,,,,12513,769,11,San Antonio,TX,,0.1185,,1
3576,Houston Christian University,,0.8444,500,490,50082,,20629,2886,11,Houston,TX,0.0056,0.1874,1,2
